"DBH","Flower","Abb"
8.1,1,"Li.pr"
8.1,0,"Li.pr"
6.7,1,"Li.pr"
8.3,0,"Ce.in"
4.9,1,"Li.pr"
7.2,0,"Li.pr"
8.4,1,"Li.pr"
8.1,1,"Li.pr"
7.2,1,"Li.pr"
22.8,1,"Il.an"
8.1,0,"Il.an"
5.8,0,"Il.an"
10.7,0,"Il.an"
10,0,"Il.an"
10.3,0,"Il.an"
15.3,0,"Il.an"
6.9,0,"Il.an"
7.1,0,"Il.an"
13,0,"Il.an"
14.3,0,"Il.an"
13.8,0,"Il.an"
12.9,0,"Il.an"
9.3,1,"Li.pr"
5.7,1,"Li.pr"
7.2,0,"Il.an"
19,0,"Il.an"
16.9,1,"Ce.in"
13.2,0,"Ce.in"
5.9,0,"Li.pr"
5,0,"Li.pr"
7.6,0,"Li.pr"
7.8,0,"Li.pr"
6.9,0,"Li.pr"
7.6,0,"Li.pr"
5.3,0,"Li.pr"
5.8,1,"Li.pr"
7,1,"Li.pr"
5.8,1,"Li.pr"
6.3,0,"Li.pr"
7.2,1,"Li.pr"
4.8,0,"Ce.in"
8.7,1,"Ce.in"
9.5,0,"Il.an"
11.1,0,"Il.an"
9.3,0,"Il.an"
5.4,0,"Il.an"
5,1,"Au.ja"
4.9,1,"Au.ja"
9.1,0,"Il.an"
5.5,0,"Il.an"
5.4,0,"Il.an"
5.3,0,"Il.an"
11.7,0,"Il.an"
13.9,1,"Il.an"
12.5,0,"Il.an"
20.2,0,"Il.an"
5.3,0,"Il.an"
8.9,0,"Il.an"
12.8,0,"Il.an"
12.8,0,"Il.an"
8.2,0,"Il.an"
6,0,"Il.an"
11.1,0,"Il.an"
16.5,0,"Il.an"
6.7,0,"Il.an"
9.1,0,"Il.an"
7.8,0,"Il.an"
7.8,0,"Il.an"
9.9,1,"Il.an"
15.4,1,"Il.an"
9.9,0,"Il.an"
14.5,0,"Il.an"
15.7,0,"Il.an"
6.3,1,"Li.pr"
11,0,"Il.an"
12.7,1,"Il.an"
9,0,"Il.an"
19,0,"Il.an"
5,1,"Li.pr"
8.9,1,"Li.pr"
9.3,1,"Li.pr"
4.6,1,"Li.pr"
5.2,1,"Li.pr"
5.1,1,"Li.pr"
10.7,1,"Li.pr"
8.4,1,"Li.pr"
12,0,"Li.pr"
8.9,1,"Li.pr"
10.8,1,"Li.pr"
6.2,1,"Li.pr"
8.5,1,"Li.pr"
7,1,"Li.pr"
19.7,1,"Il.an"
6.5,1,"Li.pr"
4.8,1,"Au.ja"
7.4,0,"Ce.in"
10.7,1,"Ce.in"
5.3,0,"Ce.in"
5.3,0,"Li.pr"
5.3,0,"Li.pr"
6.7,1,"Li.pr"
6.2,1,"Li.pr"
6.7,1,"Li.pr"
5,0,"Li.pr"
4.8,1,"Li.pr"
9.2,0,"Il.an"
5.2,0,"Il.an"
9.9,0,"Il.an"
9.5,1,"Il.an"
6.5,1,"Il.an"
6.6,0,"Il.an"
10.2,0,"Ne.ac"
5.6,0,"Ne.ac"
6,0,"Il.an"
6.8,0,"Ce.in"
6.6,0,"Ce.in"
6.2,0,"Il.an"
15.5,0,"Il.an"
15.3,0,"Il.an"
17,0,"Il.an"
15.8,1,"Il.an"
4.9,1,"Au.ja"
18.1,0,"Il.an"
7.8,1,"Il.an"
11.3,1,"Il.an"
14.9,1,"Il.an"
9.3,0,"Il.an"
5.7,1,"Li.pr"
6.5,0,"Il.an"
11.1,0,"Il.an"
10.5,1,"Li.pr"
9.4,1,"Li.pr"
15.8,0,"Il.an"
9.5,0,"Il.an"
4.8,1,"Au.ja"
6.8,0,"Li.pr"
6.1,0,"Li.pr"
19.1,1,"Il.an"
12.5,0,"Il.an"
19.4,0,"Il.an"
5.8,1,"Au.ja"
17.2,0,"Il.an"
6.2,1,"Li.pr"
5.8,0,"Li.pr"
5.3,1,"Au.ja"
5.6,1,"Li.pr"
4.9,1,"Li.pr"
4.7,1,"Li.pr"
4.9,0,"Li.pr"
12.1,1,"Li.pr"
8,1,"Li.pr"
11.5,1,"Li.pr"
10.5,1,"Li.pr"
8.8,1,"Il.an"
5.5,1,"Au.ja"
6.9,1,"Li.pr"
6,1,"Li.pr"
10,1,"Li.pr"
7.4,1,"Li.pr"
18.2,0,"Il.an"
11.3,1,"Il.an"
5.3,1,"Li.pr"
7.7,0,"Il.an"
9.4,1,"Li.pr"
8.6,1,"Li.pr"
7,1,"Li.pr"
10.3,1,"Ce.in"
5.7,1,"Ce.in"
9.5,1,"Ce.in"
7.3,1,"Li.pr"
5.4,0,"Li.pr"
11,1,"Il.an"
7.8,1,"Li.pr"
8.3,1,"Li.pr"
6.6,0,"Li.pr"
24,1,"Ne.ac"
12.6,1,"Il.an"
6.5,1,"Au.ja"
13.3,0,"Il.an"
8.5,0,"Ne.ac"
10.4,0,"Il.an"
8.9,0,"Ne.ac"
11.5,0,"Il.an"
8.9,0,"Il.an"
11,0,"Il.an"
12.6,1,"Il.an"
12,0,"Il.an"
10.3,0,"Il.an"
8.8,0,"Il.an"
10.8,0,"Il.an"
11.5,0,"Il.an"
9.4,0,"Il.an"
4.8,1,"Au.ja"
10.3,1,"Il.an"
9,0,"Il.an"
8.4,1,"Il.an"
6.8,0,"Il.an"
13.8,0,"Il.an"
14.1,0,"Il.an"
13,0,"Il.an"
9.1,0,"Il.an"
5.5,0,"Il.an"
10.2,0,"Il.an"
6.5,0,"Il.an"
5.2,0,"Ne.ac"
17.3,0,"Il.an"
19.3,0,"Il.an"
16.1,0,"Il.an"
8.2,0,"Il.an"
8.6,0,"Il.an"
12.2,1,"Il.an"
10.4,1,"Il.an"
17.5,1,"Il.an"
7.2,0,"Li.pr"
8.7,0,"Il.an"
12.1,0,"Il.an"
7,0,"Il.an"
6.7,0,"Ne.ac"
4.8,0,"Au.ja"
10.7,1,"Il.an"
15.2,1,"Il.an"
14.2,0,"Il.an"
8.1,0,"Il.an"
6.8,0,"Il.an"
11.1,0,"Il.an"
5.2,1,"Au.ja"
7.9,0,"Il.an"
9.7,0,"Il.an"
6.7,1,"Li.pr"
7.8,1,"Li.pr"
8.1,1,"Li.pr"
6.2,0,"Li.pr"
9.6,1,"Li.pr"
7.3,1,"Li.pr"
15.1,0,"Ce.in"
13.1,1,"Il.an"
8.4,1,"Li.pr"
5.3,1,"Li.pr"
11.9,1,"Ce.in"
21.5,1,"Ce.in"
17.6,0,"Ce.ha"
4.6,0,"Ne.ac"
13.3,1,"Il.an"
5,1,"Au.ja"
12.9,0,"Il.an"
13.1,0,"Il.an"
17.1,0,"Il.an"
15.8,0,"Il.an"
7.4,0,"Il.an"
14.7,0,"Il.an"
5.3,1,"Au.ja"
10.2,1,"Eu.ja"
8.1,0,"Il.an"
5.8,0,"Il.an"
10.1,0,"Il.an"
5.4,0,"Eu.ja"
5.1,0,"Il.an"
13.4,0,"Il.an"
11.7,0,"Il.an"
6,1,"Au.ja"
8.2,0,"Il.an"
16.4,0,"Il.an"
17.6,0,"Il.an"
9.6,1,"Il.an"
5.9,0,"Il.an"
21.2,1,"Il.an"
8.2,0,"Il.an"
14.7,1,"Il.an"
16.5,0,"Il.an"
13.4,0,"Il.an"
10.5,0,"Il.an"
19.6,0,"Il.an"
